timestamp,ax,ay,az,gx,gy,gz,p1,p2
948,8.02,6.37,-4.29,-0.16,-0.23,-0.31,23,14
971,7.62,6.1,-4.56,0.0,-0.47,-0.45,20,13
994,7.22,6.16,-4.14,0.18,-0.57,-0.54,21,13
1016,1.63,8.32,-5.49,-0.19,-2.04,-0.48,22,25
1039,7.71,6.64,-4.87,-0.12,0.42,-0.09,22,18
1062,8.94,7.26,-5.77,-0.35,0.35,-0.2,21,13
1085,7.45,6.65,-4.99,-0.37,0.68,-0.04,25,24
1108,8.01,6.27,-4.13,-0.27,0.7,0.21,22,18
1130,9.49,5.18,-3.27,-0.06,0.35,0.22,21,23
1152,7.73,4.8,-2.67,0.03,0.02,-0.08,21,22
1174,6.75,4.6,-2.54,0.07,-0.52,-0.16,20,19
1197,7.39,4.32,-3.17,0.25,-0.77,-0.1,17,23
1220,7.11,3.87,-4.17,0.27,-0.59,-0.17,23,21
1243,8.78,4.42,-6.33,0.11,-0.02,-0.31,22,16
1266,11.07,8.82,-8.45,-0.8,1.2,-0.25,22,16
1289,7.76,7.2,-2.04,-0.47,0.76,-0.02,21,23
1312,5.57,5.65,-2.59,-0.14,-0.12,0.04,21,17
1335,8.37,3.8,-3.09,0.04,0.58,0.23,20,22
1357,8.9,5.36,-4.19,-0.52,0.44,-0.72,20,0
1379,7.5,7.36,-4.15,-0.65,0.82,-0.76,20,22
1402,7.15,7.69,-2.61,-0.46,0.7,-0.31,21,22
1425,8.12,6.44,-2.1,-0.27,0.2,-0.08,23,18
1448,8.17,6.49,-3.04,-0.22,0.02,-0.15,23,22
1471,7.48,6.54,-2.77,-0.2,0.03,-0.04,20,17
1493,8.17,6.3,-2.68,-0.11,-0.14,0.02,22,21
1516,7.61,6.07,-2.89,-0.01,-0.24,-0.11,20,24
1539,7.7,6.17,-3.47,-0.13,0.01,-0.14,20,14
1562,7.76,6.64,-2.89,-0.21,0.08,-0.13,23,22
1585,7.72,6.52,-2.48,-0.11,-0.06,-0.05,22,18
1608,8.15,6.31,-3.11,-0.03,-0.14,-0.05,24,20
1631,7.77,6.32,-3.4,0.01,-0.14,-0.05,21,21
1659,8.11,6.05,-3.62,0.02,-0.05,-0.01,18,21
1682,7.71,6.39,-3.28,-0.09,0.03,-0.03,20,23
1705,7.52,6.68,-2.84,-0.07,0.04,0.02,21,22
1727,7.71,6.73,-2.87,-0.02,0.04,0.07,20,20
1749,7.57,6.64,-3.25,0.0,-0.01,0.12,24,32
1771,7.75,6.4,-3.39,-0.0,0.03,0.16,22,22
1793,8.03,6.16,-3.22,-0.01,-0.02,0.09,18,23
1816,7.85,6.24,-3.45,-0.01,0.04,0.04,20,23
1838,7.96,6.23,-3.24,-0.01,0.07,0.02,24,22
1861,7.85,6.47,-3.06,0.01,0.04,0.01,20,23
1883,7.66,6.49,-3.05,0.04,0.04,0.03,21,31
1905,7.86,6.48,-3.12,0.02,0.05,0.05,23,24
1927,7.79,6.37,-3.08,0.0,0.03,0.07,20,26
1949,7.88,6.33,-3.33,0.0,0.01,0.07,20,22
1971,7.86,6.25,-3.45,-0.03,0.05,0.08,19,23
1993,8.03,6.11,-3.45,-0.07,0.12,0.03,21,24
2015,7.98,6.18,-3.28,-0.08,0.11,-0.01,21,18
2038,7.96,6.29,-3.16,-0.06,0.08,-0.03,23,28
2061,7.97,6.37,-2.99,-0.05,0.02,-0.01,20,27
2084,7.93,6.33,-2.88,-0.02,0.01,0.02,24,23
2106,7.99,6.38,-2.95,-0.01,0.02,0.02,20,15
2128,7.96,6.31,-3.15,-0.0,0.03,-0.01,25,23
2151,7.82,6.3,-3.34,-0.01,0.04,-0.03,21,24
2174,7.82,6.29,-3.21,-0.01,0.06,-0.02,25,19
2197,7.86,6.24,-3.39,-0.05,0.12,-0.03,21,18
2220,8.05,6.48,-3.19,-0.13,0.14,0.03,22,20
2242,8.36,6.62,-2.78,-0.13,0.12,0.11,22,29
2265,8.76,6.59,-2.54,0.04,0.02,0.21,21,13
2287,8.47,6.51,-3.06,0.17,-0.12,0.32,21,21
2309,8.39,5.98,-3.24,0.31,-0.15,0.39,21,18
2331,7.43,5.57,-2.54,0.54,-0.32,0.45,16,22
2354,7.35,4.93,-3.45,0.71,-0.4,0.21,20,26
2376,7.04,4.29,-4.22,0.8,-0.43,-0.17,20,28
2399,8.42,4.64,-6.7,0.27,0.05,-0.76,22,26
2421,6.71,7.92,-5.11,-0.75,0.79,-0.88,22,27
2444,7.63,8.06,-1.19,-0.76,0.66,-0.4,19,37
2467,7.91,6.55,-0.18,-0.41,0.14,-0.03,20,31
2490,8.76,6.43,-2.04,-0.34,0.01,-0.06,26,36
2513,7.79,7.09,-1.93,-0.38,-0.16,-0.08,21,32
2536,7.61,7.08,-1.52,-0.21,-0.32,0.22,19,40
2559,8.19,6.33,-2.32,0.01,-0.63,0.33,25,31
2581,8.28,5.36,-3.97,0.13,-0.6,0.16,18,37
2603,8.28,5.27,-4.5,0.23,-0.49,-0.13,23,36
2626,7.82,5.97,-4.72,0.33,-0.54,-0.29,21,44
2649,6.93,6.3,-5.3,0.14,-0.34,-0.3,23,33
2672,6.66,6.81,-5.21,-0.1,-0.07,-0.28,21,32
2695,7.17,6.66,-4.42,-0.14,0.16,-0.32,23,39
2718,6.0,6.81,-4.62,-0.29,-0.0,-0.14,25,48
2741,8.92,5.84,-2.53,-0.34,0.4,0.37,21,52
2763,6.41,6.68,-5.42,-0.53,-0.61,0.01,23,48
2786,8.37,6.02,-3.58,-0.13,0.1,0.03,27,42
2808,8.25,6.47,-3.09,0.12,0.38,-0.28,20,48
2830,6.9,6.95,-3.58,0.14,0.55,-0.13,20,44
2852,7.89,6.98,-2.89,0.08,0.62,-0.07,22,50
2874,8.05,6.82,-2.09,0.13,0.34,-0.12,20,49
2896,7.84,6.44,-2.66,0.34,-0.04,-0.08,22,58
2919,8.21,5.96,-4.25,0.14,-0.1,-0.12,22,49
2942,7.43,6.13,-3.73,-0.28,-0.12,-0.02,22,49
2965,7.7,6.69,-2.47,-0.52,-0.21,0.26,21,50
2988,8.25,6.38,-2.65,-0.33,-0.23,0.14,20,50
3011,7.64,6.57,-3.15,-0.0,-0.25,-0.0,19,53
3034,7.52,6.28,-4.23,0.06,-0.22,-0.04,21,47
3057,7.52,6.54,-4.64,0.05,-0.03,-0.13,20,44
3080,7.23,6.6,-3.72,-0.02,0.12,-0.1,19,60
3103,7.47,6.76,-3.04,-0.06,0.14,-0.04,21,46
3126,7.49,6.68,-3.24,-0.04,0.07,-0.01,21,47
3149,7.45,6.76,-3.54,0.03,0.15,-0.02,23,48
3171,7.52,6.57,-3.36,0.11,0.12,-0.04,23,49
3193,7.43,6.7,-3.62,0.14,0.09,-0.03,20,45
3215,7.7,6.46,-3.65,0.2,0.13,-0.08,21,46
3237,7.66,6.23,-3.73,0.19,0.16,-0.15,22,41
3259,7.61,6.5,-3.38,-0.02,0.16,-0.1,20,45
3282,7.7,6.49,-2.78,-0.08,0.03,-0.05,21,42
3305,7.61,6.55,-2.79,-0.01,-0.06,-0.03,21,43
3328,7.47,6.63,-3.69,-0.06,-0.12,-0.0,19,44
3351,7.35,6.65,-3.56,-0.13,-0.03,0.06,20,49
3374,7.41,6.67,-3.63,-0.14,0.03,0.04,22,39
3396,7.58,6.56,-3.28,-0.1,0.1,0.06,21,50
3418,7.51,6.61,-3.55,-0.13,0.04,0.07,22,41
3440,7.82,6.36,-3.27,-0.15,0.02,0.07,20,46
3462,7.73,6.43,-3.56,-0.14,0.01,-0.05,19,46
3485,7.49,6.41,-3.55,-0.12,0.12,-0.08,22,45
3508,7.43,6.56,-3.56,-0.15,0.16,-0.08,22,47
3531,7.51,6.76,-3.24,-0.17,0.09,-0.11,19,39
3554,7.45,6.61,-3.33,-0.16,0.09,-0.08,21,37
3577,7.56,6.71,-3.05,-0.17,0.21,-0.06,24,32
3599,7.65,6.75,-2.95,-0.14,0.1,-0.08,20,40
3622,7.45,6.74,-3.1,-0.12,0.08,-0.05,19,44
3645,7.45,6.84,-3.22,-0.11,0.18,-0.01,21,39
3673,7.34,6.69,-2.83,-0.1,0.27,0.03,21,41
3695,7.87,6.78,-2.55,-0.05,0.22,0.04,23,39
3717,7.44,6.8,-2.68,0.02,0.17,0.02,20,37
3739,8.14,6.92,-3.06,0.12,0.23,-0.06,22,37
3761,8.14,6.69,-2.18,0.3,0.16,-0.15,21,32
3783,7.24,7.21,-3.36,0.13,0.27,-0.08,21,42
3806,8.1,6.76,-1.98,0.22,0.02,-0.19,23,40
3828,7.22,6.56,-2.61,0.22,0.1,-0.18,26,46
3850,6.51,6.81,-2.85,0.08,0.09,-0.14,20,41
3872,8.04,6.54,-2.99,-0.04,-0.05,-0.12,25,49
3895,7.41,7.24,-3.81,-0.18,0.13,-0.01,29,52
3918,7.44,6.76,-3.04,-0.22,0.15,0.07,26,51
3940,7.85,7.03,-2.32,-0.28,0.13,0.11,22,63
3962,7.38,6.57,-2.95,-0.29,0.14,0.22,22,51
3984,7.56,6.89,-2.99,-0.21,0.07,0.17,24,38
4006,7.78,6.88,-3.46,-0.16,0.27,0.2,22,42
4028,8.11,6.82,-2.71,-0.12,0.38,0.04,23,40
4050,7.62,6.73,-2.14,-0.06,0.29,0.04,27,37
4072,8.03,6.59,-2.3,0.0,0.1,-0.03,19,48
4094,8.05,6.78,-2.69,0.08,0.1,-0.13,22,48
4116,8.08,7.37,-2.74,0.13,-0.06,-0.35,22,39
4138,6.54,6.93,-2.91,0.1,-0.01,-0.3,20,49
4161,7.29,6.76,-2.38,0.04,-0.1,-0.25,23,50
4184,7.85,6.99,-3.17,-0.01,0.0,-0.19,21,54
4207,7.12,6.54,-2.49,-0.06,0.02,-0.14,21,55
4230,7.49,7.1,-2.65,-0.04,0.01,-0.05,25,58
4252,6.8,7.33,-2.1,0.01,-0.15,0.08,19,48
4275,6.99,7.87,-2.04,0.03,-0.25,0.25,23,58
4297,7.59,7.67,-1.12,0.42,-0.5,0.51,24,50
4320,8.04,6.64,-2.41,0.56,-0.68,0.31,20,45
4342,7.3,6.6,-3.98,0.39,-0.6,0.25,22,52
4364,7.58,5.86,-4.58,0.09,-0.4,0.25,18,45
4386,7.4,5.85,-4.69,-0.16,-0.24,0.11,27,39
4409,7.12,6.64,-5.15,-0.84,0.41,-0.13,21,42
4432,7.2,7.47,-2.07,-1.06,0.5,-0.12,22,44
4455,7.42,7.98,0.0,-0.64,0.07,0.07,22,48
4478,7.97,6.02,-1.68,0.03,-0.4,0.16,22,44
4500,8.17,5.62,-4.73,0.16,-0.35,0.16,23,42
4522,8.4,5.11,-5.45,0.19,-0.09,0.16,24,43
4544,7.99,4.2,-6.24,0.1,0.22,-0.05,21,46
4566,7.65,6.68,-3.85,-0.2,0.65,-0.08,28,47
4589,7.51,7.24,-0.49,-0.05,0.44,0.02,21,54
4611,7.58,7.28,-1.13,0.28,0.09,0.12,22,43
4633,7.61,6.91,-2.88,0.35,-0.02,0.19,22,51
4655,7.86,6.42,-3.75,0.16,0.05,0.19,22,50
4677,7.97,6.16,-3.71,0.05,0.08,0.04,20,42
4699,7.78,6.22,-3.4,0.09,0.08,-0.09,22,43
4721,7.75,6.6,-3.13,0.03,0.21,0.0,25,50
4743,7.86,6.49,-2.79,-0.04,0.18,0.02,23,41
4765,7.68,6.57,-2.44,-0.04,0.05,0.05,20,48
4787,7.93,6.66,-2.71,0.01,0.01,0.06,21,47
4809,7.75,6.61,-3.02,0.05,0.07,0.08,22,41
4831,7.92,6.39,-3.17,0.08,0.11,0.11,20,42
4853,7.93,6.34,-3.01,0.09,0.05,0.06,19,38
4875,8.02,6.12,-3.32,0.05,0.15,-0.01,23,30
4897,7.96,6.39,-3.32,-0.04,0.24,-0.07,23,42
4920,8.0,6.49,-2.69,-0.08,0.19,-0.08,21,38
4943,7.91,6.47,-2.77,-0.17,0.15,-0.09,18,45
4966,7.93,6.28,-2.88,-0.26,0.13,-0.1,22,41
4988,7.86,6.33,-3.2,-0.36,0.21,-0.07,27,43
5011,7.96,6.68,-2.59,-0.28,0.27,0.05,22,39
5033,8.02,6.59,-2.63,-0.2,0.29,-0.0,24,35
5056,7.84,6.54,-2.65,-0.18,0.33,-0.0,22,40
5079,7.97,6.71,-2.68,-0.14,0.34,-0.03,21,32
5101,7.98,6.77,-2.28,-0.11,0.35,-0.04,25,42
5124,8.48,6.67,-1.42,0.01,0.06,-0.26,23,40
5146,8.17,6.62,-1.68,0.24,-0.32,-0.54,24,35
5169,8.03,6.36,-1.5,0.38,-0.24,-0.57,22,33
5192,6.93,6.64,-3.55,0.35,-0.11,-0.59,24,40
5215,6.31,6.64,-2.94,0.12,0.02,-0.2,21,37
5237,7.58,6.71,-1.74,0.03,-0.02,-0.01,22,34
5260,7.43,6.86,-2.65,0.01,0.04,-0.02,22,42
5282,7.04,6.74,-3.03,-0.05,0.01,0.07,22,40
5304,7.1,6.4,-3.49,-0.3,0.18,0.27,24,45
5326,7.97,6.79,-2.28,-0.25,-0.05,0.1,22,35
5349,7.82,6.96,-3.03,-0.33,-0.03,0.07,23,42
5372,7.86,6.88,-2.53,-0.2,-0.06,-0.08,20,37
5395,7.77,6.75,-3.16,-0.14,0.08,-0.09,23,39
5417,7.87,6.76,-2.34,-0.11,0.23,-0.12,22,40
5440,8.08,6.7,-1.57,0.03,0.11,-0.23,25,48
5462,8.42,6.88,-2.26,0.19,0.01,-0.24,29,51
5484,7.15,6.37,-2.94,0.32,-0.03,-0.23,22,55
5506,7.01,6.39,-1.5,0.37,-0.23,-0.07,23,58
5529,7.43,7.22,-3.07,0.3,-0.25,-0.03,21,41
5552,7.28,7.06,-2.44,0.15,-0.29,0.01,23,46
5574,7.18,7.12,-2.75,0.09,-0.13,0.05,20,39
5596,7.32,7.26,-3.39,0.09,0.09,0.13,21,42
5618,7.42,7.72,-2.87,-0.12,0.19,0.14,21,40
5640,6.92,7.75,-1.34,-0.19,-0.02,0.15,25,49
5663,7.83,7.41,-0.79,0.04,-0.48,0.29,29,57
5690,7.29,6.88,-3.19,0.04,-0.58,0.32,22,48
5712,7.71,6.11,-3.93,0.04,-0.66,0.24,24,46
5734,8.37,3.78,-5.59,0.15,-0.43,0.05,19,42
5756,8.25,6.69,-4.46,-0.55,0.48,-0.19,22,45
5779,7.79,6.11,-1.99,-0.18,0.28,0.01,22,48
5801,7.87,6.02,-3.54,-0.17,0.32,-0.1,22,41
5824,7.69,7.24,-2.25,-0.19,0.38,-0.08,20,51
5847,7.46,7.27,-1.54,0.04,0.1,0.0,24,50
5869,7.58,6.94,-2.66,0.12,-0.07,0.07,20,50
5891,7.72,6.68,-3.19,0.05,-0.06,0.06,20,48
5913,7.74,6.51,-3.33,-0.01,-0.01,0.02,22,43
5936,7.57,6.62,-3.37,-0.13,0.07,-0.01,23,42
5959,7.68,6.73,-2.73,-0.19,0.09,-0.02,23,43
5981,7.74,6.85,-2.54,-0.16,0.03,-0.02,21,45
6004,7.77,6.77,-2.74,-0.11,0.03,-0.05,19,52
6027,7.89,6.54,-2.78,-0.07,0.08,-0.07,24,50
6049,7.79,6.55,-3.19,-0.17,0.09,-0.11,21,47
6072,7.26,6.7,-3.42,-0.28,0.18,-0.1,20,44
6095,7.75,6.69,-2.9,-0.34,0.27,-0.1,26,43
6118,7.62,6.88,-2.0,-0.23,0.28,-0.1,21,27
6141,7.37,6.95,-1.92,-0.09,0.1,-0.06,23,39
6163,7.47,7.03,-3.0,-0.07,0.11,-0.02,23,27
6186,7.67,6.88,-2.98,-0.13,0.26,-0.01,21,34
6209,7.75,6.81,-2.16,-0.13,0.34,-0.01,20,33
6232,7.72,6.83,-1.53,-0.02,0.24,-0.03,21,29
6255,7.65,6.79,-1.37,0.23,0.04,-0.06,22,44
6277,7.32,6.5,-1.92,0.3,0.01,-0.13,19,32
6299,7.86,7.02,-2.48,0.24,0.04,-0.21,21,28
6321,7.19,7.16,-2.48,0.25,-0.05,-0.2,21,34
6344,7.01,7.04,-3.37,0.12,-0.06,-0.16,23,38
6366,7.7,6.82,-2.96,0.03,0.02,-0.15,22,34
6388,7.93,6.96,-2.69,-0.02,-0.02,-0.14,25,40
6411,7.2,7.2,-2.33,-0.09,-0.12,-0.21,21,38
6434,6.57,6.48,-2.19,-0.16,-0.19,-0.18,21,42
6457,7.08,6.78,-3.37,-0.03,0.04,-0.03,23,38
6479,7.24,7.17,-2.31,-0.06,0.1,-0.0,22,43
6501,7.1,7.22,-2.05,0.02,0.03,0.08,20,42
6523,7.38,7.42,-1.75,0.12,0.01,0.13,21,39
6545,7.75,7.47,-1.23,0.23,-0.11,0.06,23,42
6567,6.34,8.67,-0.45,0.46,-0.34,0.37,20,44
6589,7.75,6.37,-2.18,0.63,-0.63,0.45,21,37
6611,7.06,6.48,-4.58,0.21,-0.57,0.21,23,41
6633,7.53,7.12,-4.61,-0.5,-0.02,0.03,22,34
6655,7.07,6.47,-3.25,-0.59,0.04,0.05,20,35
6678,7.75,6.51,-3.37,-0.39,-0.03,0.06,22,29
6701,8.08,6.0,-4.45,-0.1,-0.01,0.08,23,35
6723,8.16,4.87,-5.69,-0.1,0.22,-0.04,23,30
6745,7.66,7.13,-3.17,-0.43,0.56,-0.08,24,30
6767,7.15,7.28,-0.36,-0.25,0.32,0.02,22,39
6789,7.29,7.52,-0.91,-0.02,-0.01,0.18,22,31
6811,7.4,7.02,-2.46,0.02,-0.14,0.28,24,25
6833,7.77,6.36,-3.61,-0.09,-0.05,0.28,21,31
6855,8.12,6.15,-4.14,-0.34,0.22,0.17,22,33
6877,8.01,5.97,-3.81,-0.52,0.54,0.02,19,36
6899,8.01,7.56,-0.98,-0.46,0.56,0.13,20,28
6921,8.33,7.18,-1.02,-0.24,0.27,-0.03,23,24
6943,7.3,6.95,-1.68,-0.09,0.24,-0.05,23,29
6965,7.96,6.82,-2.04,-0.03,0.24,-0.04,21,25
6987,8.36,6.8,-2.16,-0.01,0.14,-0.14,25,41
7009,8.49,7.31,-0.97,0.19,-0.06,-0.38,24,33
7031,8.44,6.88,-1.23,0.46,-0.38,-0.65,21,27
7054,7.46,6.69,-1.98,0.54,-0.41,-0.7,27,30
7076,7.0,6.45,-2.9,0.43,-0.26,-0.57,20,32
7098,6.45,7.19,-3.43,0.17,-0.09,-0.33,23,35
7120,6.81,7.01,-2.48,0.03,0.07,-0.05,23,38
7142,7.08,7.18,-2.75,-0.01,-0.06,-0.04,22,46
7164,6.66,7.0,-3.11,-0.05,0.04,0.1,22,31
7186,7.95,7.21,-3.06,-0.18,0.27,0.29,24,27
7208,7.07,6.98,-2.04,-0.12,0.23,0.21,21,31
7230,6.54,6.68,-1.35,0.02,0.12,0.11,24,35
7252,7.83,6.46,-2.41,0.15,0.07,0.1,23,27
7274,8.24,7.16,-3.58,0.09,0.21,-0.04,21,27
7296,7.39,7.13,-2.26,0.19,0.07,-0.11,21,30
7318,8.09,7.07,-2.6,0.3,-0.11,-0.25,24,24
7340,7.69,7.1,-2.74,0.2,-0.08,-0.27,22,27
7362,7.48,6.99,-2.28,0.09,-0.06,-0.24,27,35
7384,7.33,7.01,-2.73,-0.03,-0.12,-0.17,25,42
7407,7.4,7.28,-3.06,-0.16,-0.14,-0.18,25,41
7430,7.01,7.21,-2.94,-0.22,-0.08,-0.11,22,40
7453,6.91,7.09,-3.0,-0.15,0.08,-0.0,22,37
7475,6.83,7.04,-2.15,-0.05,0.17,0.03,24,29
7497,7.0,7.3,-2.08,0.01,0.12,0.07,25,44
7519,6.87,7.51,-1.7,0.11,0.11,0.14,25,33
7541,7.56,7.51,-1.9,0.18,-0.2,0.16,22,22
7563,7.15,8.21,-0.38,0.56,-0.24,0.34,19,30
7585,7.17,6.91,-2.21,0.66,-0.48,0.29,24,32
7607,7.29,5.19,-5.22,0.28,-0.45,0.11,16,35
7629,7.23,7.5,-4.05,-0.34,-0.1,0.05,21,27
7651,6.73,6.66,-2.88,-0.53,-0.03,0.04,20,23
7673,7.17,7.2,-2.88,-0.61,-0.02,0.09,23,33
7700,7.72,6.26,-2.93,-0.28,-0.12,0.16,22,30
7722,8.12,5.67,-3.5,0.17,-0.17,0.16,29,37
7744,8.41,4.49,-5.81,0.32,0.03,0.1,24,32
7766,7.86,6.43,-4.62,-0.13,0.65,-0.04,20,30
7788,7.65,7.08,-1.02,-0.21,0.63,0.01,19,27
7810,7.45,7.58,-0.55,0.01,0.17,0.02,20,35
7832,7.68,7.44,-2.27,0.15,-0.05,0.07,24,27
7854,7.48,6.79,-3.14,0.05,-0.05,0.05,20,33
7876,7.6,6.66,-3.4,-0.06,0.03,0.06,20,36
7898,7.55,6.72,-3.21,-0.13,0.13,0.06,23,35
7920,7.86,6.78,-2.33,-0.07,0.22,0.01,21,54
7942,7.49,6.96,-2.15,0.02,0.14,-0.03,25,47
7964,7.52,6.75,-2.35,0.06,-0.04,0.03,25,55
7986,7.89,6.77,-2.82,0.07,-0.07,0.06,21,51
8008,7.85,6.64,-3.27,0.02,-0.0,-0.02,20,46
8030,7.7,6.62,-2.97,-0.02,0.11,-0.05,23,52
8052,7.58,6.82,-2.58,-0.03,0.09,-0.05,22,60
8074,7.6,6.96,-2.23,0.01,0.02,-0.02,18,59
8096,7.62,6.9,-2.36,0.06,-0.04,0.03,24,55
8118,7.73,6.91,-2.61,0.08,-0.02,0.04,23,60
8140,7.71,6.71,-3.01,0.05,0.0,-0.0,29,54
8162,7.62,6.6,-3.1,-0.0,0.0,-0.01,21,58
8184,7.79,6.37,-3.12,-0.06,0.04,-0.06,22,49
8206,7.33,6.88,-3.51,-0.2,0.16,-0.1,21,54
8228,7.91,6.84,-2.33,-0.2,0.15,-0.05,23,50
8250,7.48,7.19,-1.71,-0.11,0.09,-0.07,26,43
8272,7.92,7.04,-2.52,-0.04,0.07,-0.07,21,50
8294,7.96,7.08,-2.76,-0.12,0.01,-0.18,20,54
8316,6.7,6.82,-2.57,-0.22,0.04,-0.15,25,46
8338,7.27,6.94,-2.13,-0.22,-0.03,-0.16,22,55
8361,6.7,6.74,-2.95,-0.34,0.0,-0.08,24,50
8383,7.64,6.5,-2.9,-0.18,0.13,0.03,27,44
8405,7.44,6.81,-3.1,-0.15,0.11,0.05,22,49
8427,7.6,6.73,-2.44,-0.11,0.15,0.03,23,41
8449,7.13,6.81,-1.66,0.01,0.15,0.15,21,39
8471,7.56,7.73,-2.14,0.19,0.12,0.09,22,39
8493,7.89,6.54,-2.19,0.36,0.07,-0.02,22,40
8515,8.52,7.64,-2.84,0.36,-0.0,-0.2,25,39
8537,7.52,7.31,-2.42,0.26,0.04,-0.2,20,38
8559,7.65,6.86,-2.47,0.2,-0.14,-0.3,21,35
8581,6.88,6.9,-3.28,0.12,-0.15,-0.19,23,41
8604,7.24,7.13,-3.32,-0.07,-0.08,-0.21,22,42
8627,7.8,7.19,-3.89,-0.33,0.06,-0.16,23,46
8649,7.18,6.62,-1.62,-0.43,0.05,-0.1,21,48
8671,7.01,6.74,-1.01,-0.23,0.05,-0.0,23,42
8693,7.67,7.05,-2.07,0.02,0.02,0.05,23,46
8715,7.38,7.33,-2.53,0.08,0.05,0.08,22,36
8737,6.98,7.88,-2.52,0.07,-0.01,0.16,26,43
8759,6.16,8.74,-1.55,0.08,0.04,0.39,21,34
8781,8.04,7.22,0.29,0.67,-0.42,0.55,23,34
8803,7.54,6.69,-2.13,0.6,-0.63,0.36,23,27
8825,7.78,6.09,-4.24,0.39,-0.62,0.36,21,22
8847,7.65,5.08,-5.0,0.08,-0.36,0.1,21,32
8869,7.24,6.07,-6.01,-0.64,0.27,-0.21,23,32
8891,7.19,7.1,-3.45,-1.05,0.49,-0.25,23,32
8914,7.32,8.06,-0.45,-0.51,0.16,-0.03,20,36
8936,7.58,6.37,-1.37,0.11,-0.29,0.05,23,29
8958,8.14,6.36,-4.46,0.31,-0.28,0.09,22,38
8980,8.25,5.08,-5.6,0.08,0.12,-0.07,26,34
9002,7.62,6.75,-3.83,-0.14,0.48,-0.18,21,25
9025,7.16,7.18,-1.5,-0.06,0.34,-0.13,23,45
9047,7.3,7.62,-1.3,0.06,0.06,-0.01,21,40
9069,7.38,7.14,-2.15,0.13,-0.14,0.1,22,33
9091,7.45,6.92,-3.15,0.09,-0.12,0.11,20,40
9113,7.45,6.76,-3.38,0.01,-0.05,0.11,21,39
9135,7.63,6.65,-3.01,-0.0,-0.0,0.09,18,34
9157,7.77,6.64,-2.8,0.01,0.02,0.07,21,42
9179,7.78,6.74,-2.57,0.03,0.03,0.03,22,42
9201,7.8,6.74,-2.81,0.07,0.0,-0.03,22,40
9223,7.55,6.72,-3.16,0.07,0.01,-0.06,19,43
9245,7.72,6.32,-3.61,-0.0,0.1,-0.11,20,26
9267,7.75,6.53,-3.83,-0.16,0.23,-0.22,22,36
9290,6.75,7.47,-3.21,-0.29,0.4,-0.22,23,39
9312,7.38,6.73,-1.89,-0.21,0.31,-0.11,27,43
9334,7.8,7.19,-1.83,-0.05,0.23,-0.09,22,45
